batsman,total_runs
S Dhawan,529
G Gambhir,499
SK Raina,492
V Kohli,486
DA Warner,462
RV Uthappa,443
RG Sharma,431
AM Rahane,410
CH Gayle,383
PA Patel,369
AB de Villiers,361
KD Karthik,358
SR Watson,345
V Sehwag,340
MS Dhoni,303
SR Tendulkar,300
BB McCullum,294
AT Rayudu,281
SE Marsh,274
R Dravid,272
YK Pathan,265
JH Kallis,257
MK Pandey,257
DR Smith,249
M Vijay,247
AC Gilchrist,240
Yuvraj Singh,218
DPMD Jayawardene,201
MEK Hussey,200
KC Sangakkara,197
KA Pollard,184
SPD Smith,183
AJ Finch,179
KL Rahul,177
SV Samson,172
F du Plessis,165
WP Saha,161
Mandeep Singh,161
Q de Kock,160
KK Nair,159
MK Tiwary,157
S Badrinath,156
RR Pant,151
SS Iyer,151
JC Buttler,141
TM Dilshan,139
SC Ganguly,138
RA Jadeja,136
DA Miller,131
JP Duminy,128
CA Lynn,127
BJ Hodge,125
ML Hayden,124
NV Ojha,122
DJ Bravo,118
MA Agarwal,118
KS Williamson,114
GJ Maxwell,113
AS Yadav,111
LMP Simmons,110
AD Russell,99
M Vohra,98
MS Bisla,97
SP Narine,95
GC Smith,95
IK Pathan,94
SS Tiwary,93
KM Jadhav,92
KP Pietersen,92
DJ Hussey,90
MC Henriques,86
KH Pandya,86
ST Jayasuriya,85
HH Gibbs,84
N Rana,83
Harbhajan Singh,79
Y Venugopal Rao,77
EJG Morgan,76
A Symonds,75
CL White,75
RA Tripathi,75
HH Pandya,74
P Shaw,72
Shakib Al Hasan,71
LRPL Taylor,68
JD Ryder,67
STR Binny,66
Ishan Kishan,64
PC Valthaty,63
JA Morkel,61
GJ Bailey,60
HM Amla,60
SA Asnodkar,59
AM Nayar,57
TL Suman,55
PP Chawla,54
SA Yadav,53
CA Pujara,51
J Bairstow,50
JR Hopes,49
Gurkeerat Singh,48
AR Patel,48
MJ Lumb,47
AD Mathews,45
SN Khan,45
M Manhas,44
BA Stokes,43
S Gill,43
AP Tare,41
Azhar Mahmood,40
CJ Anderson,40
RS Bopara,39
J Botha,39
CH Morris,37
JP Faulkner,36
E Lewis,36
DB Ravi Teja,36
OA Shah,35
MP Stoinis,35
V Shankar,34
S Sohal,34
VVS Laxman,34
SW Billings,33
MV Boucher,33
LR Shukla,33
SP Goswami,32
R Ashwin,32
UBT Chand,32
A Mishra,30
Salman Butt,30
B Chipli,29
P Negi,29
LA Pomersbach,27
YV Takawale,27
RN ten Doeschate,27
DJ Hooda,26
SP Fleming,26
NLTC Perera,26
SM Katich,26
MD Mishra,26
MJ Guptill,25
JEC Franklin,25
R Bhatia,24
AL Menaria,24
DH Yagnik,23
M Kaif,23
GH Vihari,23
FY Fazal,23
DB Das,23
P Kumar,22
S Vidyut,22
AC Blizzard,22
BJ Rohrer,22
DT Christian,22
R Sathish,22
R Vinay Kumar,21
Y Nagar,20
AA Jhunjhunwala,20
C Munro,20
C Ingram,20
M Ali,20
C de Grandhomme,19
CM Gautam,19
JJ Roy,18
KV Sharma,18
R Parag,18
MN van Wyk,18
A Ashish Reddy,17
B Kumar,17
K Goel,17
DW Steyn,16
N Saini,16
AC Voges,16
BCJ Cutting,15
Niraj Patel,15
DJG Sammy,15
PA Reddy,15
LJ Wright,15
SK Warne,14
S Gopal,14
R McLaren,14
R Dhawan,14
UT Khawaja,14
W Jaffer,14
A Hales,14
RE van der Merwe,13
D Wiese,13
RJ Quiney,13
AB Agarkar,13
AS Raut,13
S Curran,13
BB Samantray,13
TM Head,12
UT Yadav,12
SM Pollock,12
MF Maharoof,12
Kamran Akmal,12
MJ Clarke,12
DL Vettori,12
MA Starc,12
SB Styris,11
S Anirudha,11
Sachin Baby,11
R Tewatia,11
Mohammad Nabi,11
MC Juneja,11
LA Carseldine,11
Z Khan,11
DJ Harris,11
Ankit Sharma,11
D Short,11
Bipul Sharma,11
Misbah-ul-Haq,10
SD Chitnis,10
K Gowtham,10
CR Brathwaite,10
M Morkel,10
RE Levi,10
DJ Jacobs,10
N Pooran,10
MG Johnson,10
AB McDonald,9
PD Collingwood,9
MR Marsh,9
MN Samuels,9
M Klinger,9
Iqbal Abdulla,9
CJ Ferguson,9
PR Shah,9
TR Birt,9
MM Sharma,9
KK Cooper,9
S Rana,9
AG Paunikar,9
B Lee,8
TG Southee,8
AD Nath,7
A Chopra,7
Mohammad Hafeez,7
DS Kulkarni,7
AP Majumdar,7
IR Jaggi,7
S Aravind,7
M Kartik,7
S Sreesanth,7
BR Dunk,7
Shahid Afridi,7
RT Ponting,7
JD Unadkat,6
RR Sarwan,6
KB Arun Karthik,6
L Livingstone,6
AJ Tye,6
L Ronchi,6
A Flintoff,6
MS Gony,6
Sunny Singh,6
RR Powar,6
SL Malinga,6
S Narwal,6
JDP Oram,6
RJ Harris,6
MJ McClenaghan,6
J Archer,6
Anirudh Singh,6
AA Bilakhia,5
SP Jackson,5
Mohammed Shami,5
Rashid Khan,5
MM Patel,5
AUK Pathan,5
DJ Thornely,5
B Akhil,5
RV Gomez,5
PJ Cummins,5
AD Mascarenhas,5
D Salunkhe,5
CR Woakes,5
R Sharma,5
R Singh,5
Shoaib Malik,5
AB Barath,5
SN Thakur,5
Washington Sundar,5
LPC Silva,5
J Arunkumar,5
K Rabada,5
WD Parnell,5
H Klaasen,5
Yashpal Singh,5
S Hetmyer,4
JO Holder,4
NJ Maddinson,4
P Dogra,4
A Kumble,4
I Sharma,4
J Suchith,4
C Madan,4
Kuldeep Yadav,4
J Syed Mohammad,4
S Chanderpaul,4
A Mithun,4
M Rawat,4
AN Ahmed,4
M Markande,3
B Sumanth,3
Imran Tahir,3
M Lomror,3
S Sriram,3
R Rampaul,3
T Curran,3
Sohail Tanvir,3
T Taibu,3
WA Mota,3
JDS Neesham,3
NM Coulter-Nile,3
HV Patel,3
Y Gnaneswara Rao,3
RR Rossouw,3
VH Zol,3
A Nehra,3
ER Dwivedi,3
SK Trivedi,3
RJ Peterson,3
DS Lehmann,3
CA Ingram,3
MDKJ Perera,3
Harmeet Singh,3
AP Dole,3
SB Jakati,3
R Shukla,2
RD Chahar,2
RP Singh,2
H Brar,2
KW Richardson,2
BJ Haddin,2
A Joseph,2
L Balaji,2
WPUJC Vaas,2
M Ntini,2
S Rutherford,2
AB Dinda,2
DL Chahar,2
AA Chavan,2
Anureet Singh,2
MA Khote,2
S Sharma,2
P Chopra,2
Mohammed Siraj,2
JJ Bumrah,2
F Behardien,2
AS Rajpoot,2
Umar Gul,2
M Ur Rahman,2
VR Aaron,2
P R Barman,2
SD Lad,1
Sandeep Sharma,1
KAJ Roach,1
AN Ghosh,1
Karanveer Singh,1
AR Bawne,1
Joginder Sharma,1
K Paul,1
Avesh Khan,1
AG Murtaza,1
SB Bangar,1
JM Kemp,1
SA Abbott,1
KMDN Kulasekara,1
A Choudhary,1
JJ van der Wath,1
S Singh,1
RS Sodhi,1
SS Shaikh,1
AC Thomas,1
S Dube,1
SW Tait,1
S Nadeem,1
S Mavi,1
B Stanlake,1
GR Napier,1
Basil Thampi,1
UA Birla,1
DE Bollinger,1
J Theron,1
AA Noffke,1
P Sahu,1
I Malhotra,1
DM Bravo,1
DNT Zoysa,1
NS Naik,1
A Zampa,1
PJ Sangwan,1
DR Martyn,1
N Naik,1
H Viljoen,1
VS Malik,1
DT Patil,1
VRV Singh,1
GB Hogg,1
GD McGrath,1
Vishnu Vinod,1
A Mukund,1
M Muralitharan,1
Parvez Rasool,1
RR Raje,1
DAJ Bracewell,1
PV Tambe,1
Shivam Sharma,1
R Bishnoi,1
Shoaib Akhtar,0
Younis Khan,0
A Turner,0
YS Chahal,0
V Pratap Singh,0
Swapnil Singh,0
A Singh,0
YA Abdulla,0
X Thalaivan Sargunam,0
Shoaib Ahmed,0
VS Yeligati,0
A Uniyal,0
T Henderson,0
T Kohli,0
U Kaul,0
T Thushara,0
TS Mills,0
A Dananjaya,0
TM Srivastava,0
AF Milne,0
TA Boult,0
TD Paine,0
VY Mahesh,0
Sunny Gupta,0
K Ahmed,0
SMSM Senanayake,0
Abdur Razzak,0
Harpreet Singh,0
H Vihari,0
H Gurney,0
H Das,0
FH Edwards,0
MS Wade,0
Mashrafe Mortaza,0
Mohammad Ashraful,0
Mohammad Asif,0
Mustafizur Rahman,0
ND Doshi,0
NJ Rimmington,0
NL McCullum,0
DP Vijaykumar,0
DP Nannes,0
P Awana,0
P Krishna,0
I Sodhi,0
M de Lange,0
M Wood,0
Kamran Khan,0
K Upadhyay,0
KC Cariappa,0
Jaskaran Singh,0
KJ Abbott,0
JE Taylor,0
KP Appanna,0
J Yadav,0
L Ablish,0
IC Pandey,0
L Plunkett,0
LH Ferguson,0
J Searles,0
J Denly,0
M Ashwin,0
A Chandila,0
M Santner,0
P Parameswaran,0
P Raj,0
DJ Muthuswami,0
S Randiv,0
BB Sran,0
BAW Mendis,0
BA Bhatt,0
S Kaul,0
S Kaushik,0
S Ladda,0
S Lamichhane,0
S Tyagi,0
S Badree,0
B Laughlin,0
SB Joshi,0
SB Wagh,0
SE Bond,0
SJ Srivastava,0
Ankit Soni,0
SM Harwood,0
BE Hendricks,0
BMAJ Mendis,0
PM Sarvesh Kumar,0
CRD Fernando,0
PP Ojha,0
PSP Handscomb,0
Pankaj Singh,0
D du Preez,0
D Shorey,0
R Bhui,0
D Kalyankrishna,0
R Ninan,0
RS Gavaskar,0
R Salam,0
CK Langeveldt,0
CK Kapugedera,0
CJ McKay,0
RG More,0
C Nanda,0
RR Bhatkal,0
CJ Jordan,0
