bowler,player_dismissed
Rashid Khan,42
JJ Bumrah,38
HH Pandya,35
S Gopal,32
Imran Tahir,32
DL Chahar,32
AJ Tye,31
DJ Bravo,31
S Kaul,30
YS Chahal,30
UT Yadav,29
SP Narine,28
R Ashwin,28
K Rabada,28
RA Jadeja,27
J Archer,27
SN Thakur,26
KH Pandya,25
Mohammed Shami,25
TA Boult,25
Harbhajan Singh,25
B Kumar,24
AD Russell,24
Kuldeep Yadav,23
A Mishra,23
JD Unadkat,23
PP Chawla,23
K Ahmed,20
Mohammed Siraj,20
MJ McClenaghan,19
SL Malinga,18
M Ur Rahman,18
Shakib Al Hasan,18
CH Morris,16
M Markande,16
P Krishna,16
AR Patel,15
BA Stokes,15
S Lamichhane,14
I Sharma,14
AS Rajpoot,14
Sandeep Sharma,14
L Ngidi,13
S Sharma,13
RD Chahar,13
M Ali,13
K Gowtham,12
N Saini,12
S Curran,11
HV Patel,10
DS Kulkarni,10
TG Southee,9
Mustafizur Rahman,9
K Paul,9
Mohammad Nabi,9
I Sodhi,9
B Laughlin,9
Washington Sundar,8
S Nadeem,8
MM Sharma,8
M Ashwin,8
R Tewatia,8
CR Woakes,8
H Viljoen,8
N Rana,7
SR Watson,7
S Mavi,7
H Gurney,7
T Curran,6
BB Sran,6
CR Brathwaite,6
A Joseph,6
CJ Anderson,5
Basil Thampi,5
GJ Maxwell,5
B Stanlake,5
O Thomas,5
J Behrendorff,5
MP Stoinis,5
KV Sharma,5
P Negi,4
L Plunkett,4
DW Steyn,4
Avesh Khan,4
DT Christian,4
M Santner,4
VR Aaron,4
A Singh,3
KM Asif,3
K Khejroliya,3
BCJ Cutting,3
C de Grandhomme,3
MG Johnson,2
Anureet Singh,2
S Kuggeleijn,2
D Willey,2
R Vinay Kumar,2
R Parag,2
V Shankar,2
J Searles,2
J Suchith,2
L Ferguson,2
S Warrier,2
YK Pathan,1
D Short,1
P Raj,1
STR Binny,1
J Yadav,1
V Chakravarthy,1
Ankit Sharma,1
S Rutherford,1
A Roy,1
SN Khan,0
A Dananjaya,0
SK Raina,0
L Livingstone,0
CJ Jordan,0
DJ Hooda,0
H Brar,0
H Vihari,0
J Dala,0
JP Duminy,0
KC Cariappa,0
M Lomror,0
S Midhun,0
M Wood,0
MK Tiwary,0
Mandeep Singh,0
P R Barman,0
PJ Sangwan,0
R Salam,0
S Dube,0
Yuvraj Singh,0
