batsman,fours
G Gambhir,491
S Dhawan,404
DA Warner,404
SK Raina,401
V Kohli,388
RV Uthappa,385
RG Sharma,354
V Sehwag,340
AM Rahane,325
CH Gayle,306
PA Patel,301
SR Tendulkar,300
AB de Villiers,291
KD Karthik,286
BB McCullum,278
SE Marsh,274
R Dravid,272
SR Watson,259
JH Kallis,257
MS Dhoni,255
DR Smith,249
YK Pathan,242
M Vijay,241
AC Gilchrist,240
AT Rayudu,206
Yuvraj Singh,204
DPMD Jayawardene,201
MEK Hussey,200
MK Pandey,199
KC Sangakkara,197
AJ Finch,173
KA Pollard,159
S Badrinath,156
MK Tiwary,153
SPD Smith,151
TM Dilshan,139
SC Ganguly,138
KK Nair,135
Mandeep Singh,135
WP Saha,131
RA Jadeja,126
JP Duminy,125
BJ Hodge,125
ML Hayden,124
NV Ojha,122
SV Samson,112
F du Plessis,111
LMP Simmons,110
DA Miller,108
DJ Bravo,104
GJ Maxwell,98
MS Bisla,97
M Vohra,96
GC Smith,95
IK Pathan,94
SS Tiwary,93
KP Pietersen,92
Q de Kock,92
DJ Hussey,90
MC Henriques,86
ST Jayasuriya,85
HH Gibbs,84
MA Agarwal,83
SS Iyer,79
Y Venugopal Rao,77
Harbhajan Singh,76
EJG Morgan,76
CL White,75
A Symonds,75
KM Jadhav,71
LRPL Taylor,68
JD Ryder,67
PC Valthaty,63
KL Rahul,61
JA Morkel,61
GJ Bailey,60
HM Amla,60
SA Asnodkar,59
STR Binny,59
AM Nayar,57
TL Suman,55
SA Yadav,53
CA Pujara,51
AD Russell,50
JC Buttler,50
PP Chawla,49
JR Hopes,49
MJ Lumb,47
RR Pant,47
KH Pandya,46
Shakib Al Hasan,46
AD Mathews,45
RA Tripathi,45
M Manhas,44
AP Tare,41
CJ Anderson,40
Azhar Mahmood,40
J Botha,39
RS Bopara,39
Gurkeerat Singh,37
KS Williamson,37
SP Narine,36
DB Ravi Teja,36
JP Faulkner,36
OA Shah,35
VVS Laxman,34
Ishan Kishan,34
S Sohal,34
AR Patel,34
LR Shukla,33
CH Morris,33
MV Boucher,33
UBT Chand,32
CA Lynn,31
Salman Butt,30
N Rana,30
B Chipli,29
A Mishra,28
P Negi,28
RN ten Doeschate,27
LA Pomersbach,27
YV Takawale,27
NLTC Perera,26
SP Fleming,26
SM Katich,26
MD Mishra,26
SP Goswami,26
JEC Franklin,25
HH Pandya,24
SW Billings,24
AL Menaria,24
R Bhatia,24
GH Vihari,23
DH Yagnik,23
DB Das,23
M Kaif,23
FY Fazal,23
AC Blizzard,22
BA Stokes,22
S Vidyut,22
BJ Rohrer,22
DT Christian,22
R Ashwin,22
P Kumar,22
R Sathish,22
MJ Guptill,21
R Vinay Kumar,20
Y Nagar,20
AA Jhunjhunwala,20
CM Gautam,19
DJ Hooda,19
SN Khan,19
MN van Wyk,18
KV Sharma,18
A Ashish Reddy,17
K Goel,17
DW Steyn,16
AC Voges,16
N Saini,16
PA Reddy,15
B Kumar,15
Niraj Patel,15
DJG Sammy,15
LJ Wright,15
MP Stoinis,15
SK Warne,14
UT Khawaja,14
R Dhawan,14
R McLaren,14
W Jaffer,14
RJ Quiney,13
RE van der Merwe,13
BB Samantray,13
AB Agarkar,13
D Wiese,13
AS Raut,13
TM Head,12
V Shankar,12
MF Maharoof,12
SM Pollock,12
Kamran Akmal,12
MJ Clarke,12
DL Vettori,12
MA Starc,12
Sachin Baby,11
LA Carseldine,11
SB Styris,11
MC Juneja,11
S Anirudha,11
Z Khan,11
DJ Harris,11
Bipul Sharma,11
M Morkel,10
DJ Jacobs,10
C de Grandhomme,10
SD Chitnis,10
RE Levi,10
Misbah-ul-Haq,10
AB McDonald,9
JJ Roy,9
MN Samuels,9
TR Birt,9
MR Marsh,9
S Rana,9
PD Collingwood,9
M Klinger,9
PR Shah,9
KK Cooper,9
Iqbal Abdulla,9
CJ Ferguson,9
AG Paunikar,9
BCJ Cutting,9
MM Sharma,8
B Lee,8
UT Yadav,8
MG Johnson,8
CR Brathwaite,8
S Aravind,7
S Sreesanth,7
M Kartik,7
RT Ponting,7
IR Jaggi,7
BR Dunk,7
Ankit Sharma,7
Shahid Afridi,7
AP Majumdar,7
A Chopra,7
Mohammad Hafeez,7
MS Gony,6
SL Malinga,6
JDP Oram,6
Sunny Singh,6
S Narwal,6
Anirudh Singh,6
L Ronchi,6
RR Sarwan,6
RR Powar,6
RJ Harris,6
A Flintoff,6
KB Arun Karthik,6
DS Kulkarni,6
AUK Pathan,5
B Akhil,5
DJ Thornely,5
RV Gomez,5
D Salunkhe,5
PJ Cummins,5
MM Patel,5
R Sharma,5
LPC Silva,5
Yashpal Singh,5
AA Bilakhia,5
AS Yadav,5
J Arunkumar,5
WD Parnell,5
Shoaib Malik,5
AD Mascarenhas,5
AB Barath,5
SP Jackson,5
K Rabada,5
Mohammed Shami,4
AN Ahmed,4
R Tewatia,4
S Chanderpaul,4
J Syed Mohammad,4
J Suchith,4
NJ Maddinson,4
CR Woakes,4
M Rawat,4
C Madan,4
P Dogra,4
A Mithun,4
AJ Tye,4
C Munro,4
JO Holder,4
A Kumble,4
WA Mota,3
A Nehra,3
RR Rossouw,3
Y Gnaneswara Rao,3
JDS Neesham,3
VH Zol,3
CA Ingram,3
R Rampaul,3
SB Jakati,3
Imran Tahir,3
ER Dwivedi,3
AP Dole,3
DS Lehmann,3
MDKJ Perera,3
Harmeet Singh,3
I Sharma,3
SK Trivedi,3
Sohail Tanvir,3
RJ Peterson,3
T Taibu,3
B Sumanth,3
S Sriram,3
TG Southee,3
NM Coulter-Nile,3
WPUJC Vaas,2
Umar Gul,2
RP Singh,2
Anureet Singh,2
VR Aaron,2
AB Dinda,2
BJ Haddin,2
R Shukla,2
AA Chavan,2
M Ntini,2
MJ McClenaghan,2
HV Patel,2
Kuldeep Yadav,2
L Balaji,2
F Behardien,2
KW Richardson,2
MA Khote,2
SW Tait,1
S Gopal,1
A Zampa,1
S Nadeem,1
Karanveer Singh,1
Shivam Sharma,1
DNT Zoysa,1
Sandeep Sharma,1
AA Noffke,1
SA Abbott,1
UA Birla,1
SB Bangar,1
J Theron,1
AD Nath,1
DR Martyn,1
DT Patil,1
VRV Singh,1
SN Thakur,1
GB Hogg,1
AS Rajpoot,1
AR Bawne,1
GD McGrath,1
GR Napier,1
AN Ghosh,1
SS Shaikh,1
I Malhotra,1
AG Murtaza,1
M Muralitharan,1
DM Bravo,1
VS Malik,1
P Sahu,1
Joginder Sharma,1
R Bishnoi,1
A Choudhary,1
Parvez Rasool,1
PV Tambe,1
JM Kemp,1
JJ van der Wath,1
KAJ Roach,1
PJ Sangwan,1
KMDN Kulasekara,1
A Mukund,1
RR Raje,1
DAJ Bracewell,1
Basil Thampi,1
AC Thomas,1
JJ Bumrah,1
Vishnu Vinod,1
NS Naik,1
RS Sodhi,1
DE Bollinger,1
IC Pandey,0
V Pratap Singh,0
KJ Abbott,0
YA Abdulla,0
VY Mahesh,0
Jaskaran Singh,0
Shoaib Akhtar,0
YS Chahal,0
M de Lange,0
A Singh,0
Shoaib Ahmed,0
A Uniyal,0
Kamran Khan,0
Younis Khan,0
KC Cariappa,0
JE Taylor,0
KP Appanna,0
Sunny Gupta,0
TA Boult,0
TS Mills,0
JD Unadkat,0
TM Srivastava,0
LH Ferguson,0
J Yadav,0
M Ashwin,0
TD Paine,0
T Thushara,0
U Kaul,0
VS Yeligati,0
T Kohli,0
T Henderson,0
L Ablish,0
Washington Sundar,0
Swapnil Singh,0
A Chandila,0
X Thalaivan Sargunam,0
R Ninan,0
AF Milne,0
Harpreet Singh,0
S Kaul,0
NL McCullum,0
DL Chahar,0
BE Hendricks,0
S Badree,0
DJ Muthuswami,0
Rashid Khan,0
BMAJ Mendis,0
P Awana,0
RS Gavaskar,0
P Parameswaran,0
D du Preez,0
RR Bhatkal,0
PM Sarvesh Kumar,0
D Kalyankrishna,0
PP Ojha,0
PSP Handscomb,0
RG More,0
C Nanda,0
RD Chahar,0
Pankaj Singh,0
CRD Fernando,0
CK Langeveldt,0
CK Kapugedera,0
CJ Jordan,0
S Kaushik,0
S Ladda,0
NJ Rimmington,0
SE Bond,0
H Das,0
CJ McKay,0
FH Edwards,0
Abdur Razzak,0
SMSM Senanayake,0
SM Harwood,0
Ankit Soni,0
MS Wade,0
DP Vijaykumar,0
SJ Srivastava,0
DP Nannes,0
Mashrafe Mortaza,0
ND Doshi,0
B Laughlin,0
SB Wagh,0
Mohammad Ashraful,0
SB Joshi,0
Mohammad Asif,0
Mohammad Nabi,0
BA Bhatt,0
BAW Mendis,0
S Tyagi,0
BB Sran,0
S Randiv,0
K Upadhyay,0
